obj_name,nb_kp,descriptors
panda,128,"[[ 49. 100.   1. ...   0.   0.   0.]
 [ 90. 132.   4. ...   0.   0.   1.]
 [  1.  42.  41. ...   0.   0.   5.]
 ...
 [  3.   1.   0. ...   0.   1.  13.]
 [  0.  69.  45. ...   0.   0.   6.]
 [  3.  69. 152. ...   0.   0.   2.]]"
Motorbikes,93,"[[135.   4.   8. ...   0.   0.   6.]
 [  1.  55.  30. ...   5.   7.   1.]
 [ 12.   1.   4. ...   0.   0.   0.]
 ...
 [  0.   0.   1. ...  18.  58.  18.]
 [  0.  98.  58. ...   0.   0.   4.]
 [ 12. 148.  22. ...   0.   0.   0.]]"
BACKGROUND_Google,261,"[[  2.   0.   0. ...   0.   2.   1.]
 [ 48.  60. 124. ...   0.   0.   0.]
 [  1.   0.   0. ...   0.   4.   3.]
 ...
 [  1.   0.   0. ...   5.   0.   5.]
 [ 82.  85.   0. ...   0.   1.   1.]
 [ 19.   0.   0. ...   0.   0.   0.]]"
ketch,120,"[[ 3.  5.  9. ...  0.  0.  0.]
 [ 0. 33. 48. ...  0.  0.  0.]
 [ 1.  3. 12. ...  0.  0.  1.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 1.  0.  0. ...  0.  0.  0.]
 [ 4. 15.  6. ...  0.  0.  1.]]"
brain,138,"[[15.  1.  0. ...  4.  5. 13.]
 [33.  0.  0. ...  0.  1.  1.]
 [23.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  2. ...  0.  0. 42.]
 [ 3.  0.  0. ...  5.  4.  4.]
 [ 0.  0.  0. ...  2.  1.  8.]]"
grand_piano,77,"[[ 53.  64.   1. ...   0.   0.   2.]
 [ 19.  71.   1. ...   0.   0.   4.]
 [  0.   0. 144. ...   0.   0.   8.]
 ...
 [  7.   6.   2. ...   0.   0.   1.]
 [  4. 113.  19. ...   0.   0.   0.]
 [ 12. 138.   4. ...   0.   0.   0.]]"
joshua_tree,110,"[[ 17.   0.   0. ...   0.   0.   2.]
 [146.   1.   0. ...   0.   0.   1.]
 [  0.   0.   0. ...   1.   0.   0.]
 ...
 [  0.   5.  75. ...   0.   0.   0.]
 [ 13.   8. 110. ...   0.   0.   2.]
 [  5.   0.   0. ...   0.   0.   1.]]"
ketch,65,"[[17.  0.  0. ...  4.  0.  0.]
 [ 1.  0.  0. ... 10.  0.  0.]
 [ 0.  0.  0. ... 26.  0.  1.]
 ...
 [10.  2.  0. ...  0.  0.  0.]
 [83.  9.  0. ...  0.  0.  0.]
 [21.  5. 18. ...  0.  0.  1.]]"
cellphone,129,"[[101.   0.   0. ...   0.   0.  15.]
 [  0.   0.   0. ...  46.  18.   5.]
 [  0.   0.   0. ...   0.   0.  42.]
 ...
 [  0.   0.   0. ...   0.   0.   1.]
 [ 35.   1.   0. ...   0.   0.   0.]
 [  2.   7.   2. ...   8.  29.   5.]]"
Faces,182,"[[  0.   0.   0. ...   0.   4.  24.]
 [ 13.   0.   0. ...   2.   4.   3.]
 [ 88.   6.   0. ...  17. 118.  38.]
 ...
 [  0.   0.   0. ...   9.  12.  51.]
 [  0.   0.   1. ...   0.   0.   1.]
 [  3.   0.   0. ...  11.  32. 131.]]"
llama,174,"[[  3.  17. 128. ...   9.   0.   1.]
 [ 40.  85.  11. ...   6.   0.   0.]
 [ 51.   1.   0. ...  15.   4.   7.]
 ...
 [ 20.   3.   6. ...   0.   0.   0.]
 [ 11.  23.  22. ...   9.   0.   0.]
 [  9.   4.   1. ...   8.   0.  17.]]"
Faces_easy,82,"[[  1.   1.   0. ...   0.   0.   0.]
 [  2.   2.   2. ...   0.   0.   0.]
 [  0.   0.   0. ...   0.   0.   0.]
 ...
 [  6.   3.   1. ...   0.   0.   0.]
 [ 19.   3.   0. ...   0.  51. 129.]
 [  5.   0.   0. ...   0.  95. 138.]]"
flamingo,237,"[[  4.  56.  45. ...   3.   1.   0.]
 [ 12.  40.   5. ...  82.  52.  24.]
 [  0.   0.   0. ...  56.   7.  18.]
 ...
 [ 55.  75.  50. ...   1.   0.   0.]
 [  5.   1.   0. ... 107.   1.   0.]
 [ 22.   3.   1. ...   0.   0.  20.]]"
umbrella,15,"[[ 40.  27.   0. ...   0.   0.   0.]
 [  1.   0.   0. ...   8.   8.   0.]
 [  0.   0.   0. ...   0.   0.   0.]
 ...
 [  0. 139.  70. ...   0.   0.   0.]
 [  0.   1.  97. ...   0.   0.   0.]
 [  0.   0.   0. ...   0.   0.   1.]]"
BACKGROUND_Google,137,"[[ 0.  0.  0. ...  3.  1.  3.]
 [20.  0.  0. ... 34. 21. 27.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  2.  5. ...  0.  0.  2.]
 [ 2.  0.  0. ...  0. 11. 77.]
 [ 0.  1. 23. ...  8.  1.  7.]]"
airplanes,144,"[[ 2.  2.  2. ...  0.  0.  2.]
 [ 4.  0.  0. ...  0.  0.  1.]
 [40.  9.  1. ...  0.  0.  3.]
 ...
 [ 2.  2.  1. ...  0.  0.  0.]
 [ 6.  1.  0. ...  0.  0.  0.]
 [ 2.  1.  0. ...  0.  0.  0.]]"
Motorbikes,111,"[[ 0.  2. 39. ...  0.  0.  1.]
 [ 4.  0.  0. ...  2.  2.  5.]
 [ 0.  0.  0. ...  0.  4.  8.]
 ...
 [ 0.  0.  0. ... 13.  6.  8.]
 [ 0.  0.  0. ... 57. 39. 19.]
 [34. 13.  0. ...  0.  0.  0.]]"
sunflower,118,"[[  0.   0.   0. ...   1.   0.   4.]
 [  0.   2.   0. ...  28.  68.  80.]
 [  0.   2.  69. ...   0.   0.   0.]
 ...
 [110.  67.  38. ...   0.   1.   5.]
 [  0.   0.   0. ...   0.   0.  13.]
 [  1.   0.   0. ...   1.  11.  23.]]"
cup,131,"[[ 10. 162.  75. ...   0.   0.   0.]
 [ 26.  43.  10. ...   0.   0.   0.]
 [  0.   2.  34. ...   0.   0.   7.]
 ...
 [  0.   0.  38. ...   2.   0.   1.]
 [  1. 106. 101. ...   0.   0.   0.]
 [  4.  29. 125. ...   0.   0.   5.]]"
Motorbikes,165,"[[ 11.   9.   1. ...   0.   0.   0.]
 [  7.   0.   0. ...   0.   0.   0.]
 [ 29.  38.   7. ...   0.   0.   0.]
 ...
 [  1. 144.  21. ...   0.   0.   3.]
 [  0.  13.  73. ...   0.   0.   2.]
 [ 22.   0.   0. ...   0.   0.   4.]]"
rhino,271,"[[  0.   0.   0. ...  89. 140.  22.]
 [  0.   0.   0. ...   9.  59.  49.]
 [ 30.  50.  84. ...   0.   0.  11.]
 ...
 [  0.   0.   0. ...   1.   0.   1.]
 [  3.   4.  25. ...   0.   1.  10.]
 [ 48.  12.  32. ...   0.   0.   0.]]"
Motorbikes,152,"[[ 4. 11. 24. ...  0.  0.  0.]
 [ 2.  8.  4. ...  0.  0.  1.]
 [ 0.  0. 15. ...  0.  0.  0.]
 ...
 [ 4.  6.  2. ...  0.  0.  0.]
 [ 0.  1. 10. ...  0.  0.  0.]
 [ 1.  2.  1. ...  0.  0.  0.]]"
joshua_tree,196,"[[ 2.  4. 18. ...  0.  0.  1.]
 [ 2.  2.  0. ... 40. 29. 29.]
 [13.  0.  0. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ... 34.  5. 16.]
 [ 0.  0.  3. ...  2. 30. 22.]
 [ 0.  0.  0. ...  2.  5. 11.]]"
Faces_easy,121,"[[ 20.  10.   6. ...  44.   0.   0.]
 [ 69.  43.   0. ...   4.   3.   3.]
 [  0.   0.  61. ...   1.   0.   2.]
 ...
 [  1.   6.  56. ...  19.   1.   1.]
 [  2.  16.  41. ...  15.   1.   0.]
 [  3.  50. 106. ...   8.   0.   0.]]"
accordion,232,"[[ 95.  28.   0. ... 153.   0.   0.]
 [ 45.   3.   1. ...   0.   0.   0.]
 [  0.   0.   0. ...   3.  25.  98.]
 ...
 [  0.   1.   0. ...   2.   1.  56.]
 [ 30.  49.   0. ...   1.   1.   2.]
 [  0.   0.   0. ...   1.   0.   1.]]"
Motorbikes,186,"[[ 1.  4.  5. ...  0.  0.  1.]
 [ 0.  1.  1. ...  0.  0.  2.]
 [ 1.  1.  0. ...  0.  0.  0.]
 ...
 [ 3.  3.  3. ...  0.  0.  1.]
 [ 4. 10. 11. ...  0.  0.  1.]
 [ 5.  0.  0. ...  0.  0.  0.]]"
Motorbikes,182,"[[25.  1.  0. ...  0.  0.  2.]
 [ 0.  2. 55. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  4.]
 ...
 [37.  0. 16. ...  0.  0.  1.]
 [ 0. 17. 63. ...  0.  0.  2.]
 [ 2.  4. 24. ...  0.  0.  1.]]"
trilobite,195,"[[  3.   9.  43. ...   0.   0.   0.]
 [ 15.   6.   9. ...   0.   0.   0.]
 [ 26.  47.   6. ...   0.   0. 130.]
 ...
 [  6.   3.  22. ...   0.   0.   1.]
 [  1.   5.   6. ...  37.  16.  23.]
 [ 15.   8.  39. ...  18.   2.   1.]]"
umbrella,65,"[[  3.  15.  31. ...   3. 111.   4.]
 [  0.   0.   0. ...   9.  11.   0.]
 [  1.   0.   0. ...   0.   0.   5.]
 ...
 [  6.   0.   0. ...   5.  68.   0.]
 [  0.   0.   3. ...   0.   0.   5.]
 [ 33.   6.   1. ...   0.   0.   0.]]"
cannon,176,"[[  0.   0.   0. ...   2.   5.   7.]
 [  5.  27.  10. ...   1.   3.   1.]
 [  3. 173.  25. ...   0.   0.   0.]
 ...
 [  0.   2.  73. ...   0.   0.   0.]
 [  0.   0.   0. ...   0.   0.   2.]
 [  2.   0.   0. ...   0.   0.   0.]]"
Faces_easy,102,"[[  2.   3.   3. ...   0.   0.  11.]
 [ 90.  80.   1. ...   1.   3.   2.]
 [ 96.  59.   0. ...   2.   1.   1.]
 ...
 [  1.   4.   8. ...   0.   0.   0.]
 [139. 108.   0. ...   0.   0.   0.]
 [  2.   0.   0. ...   0.   0.   0.]]"
Motorbikes,204,"[[ 0.  0.  5. ...  0.  0.  1.]
 [ 0.  2. 47. ...  0.  0.  1.]
 [18. 50. 17. ...  0.  0.  1.]
 ...
 [63.  1.  1. ...  0.  0.  1.]
 [ 0.  8. 63. ...  0.  0.  3.]
 [ 3.  1.  0. ...  0.  0.  2.]]"
Motorbikes,158,"[[ 15.   7.  12. ...   0.   0.   2.]
 [  3.   5. 151. ...   0.   0.   0.]
 [ 19.  64.  14. ...   0.   0.   1.]
 ...
 [ 14.  14.   0. ...   0.   0.   3.]
 [  1.  35.  10. ...   0.   0.   3.]
 [  0.   8. 157. ...   0.   0.   0.]]"
ceiling_fan,125,"[[  8.   0.   1. ...  17.  39.   4.]
 [ 23. 124. 117. ...  24.   0.   0.]
 [ 29. 121.  88. ...  26.   0.   0.]
 ...
 [  0.   0.   1. ...   0.   0.   0.]
 [ 19.   0.   0. ...   0.   0.   0.]
 [  0.   1.  91. ...   4.   0.   0.]]"
Faces,91,"[[  1.  16. 135. ...   1.   0.  17.]
 [  0.   0.   0. ...   0.   0.  29.]
 [  0.   0.   0. ...   5.   1.   1.]
 ...
 [ 15.  33.   8. ...  12.   0.   1.]
 [  3.   1.   2. ...   0.   4.   5.]
 [  0.   0.   0. ...   0.   0.   8.]]"
Motorbikes,240,"[[  0.  13. 154. ...   0.   0.   0.]
 [ 16.   2.   0. ...   0.   0.   0.]
 [ 12.   1.   0. ...   0.   0.   0.]
 ...
 [ 13.   0.   0. ...   0.   0.  11.]
 [  0.  10.  52. ...   0.   0.   9.]
 [ 24.   0.   1. ...   0.   0.   0.]]"
Faces,90,"[[  0.   0. 147. ...   0.   0.   0.]
 [  6.   0.   0. ...   0.   0.  10.]
 [  2. 156.  21. ...   0.   0.   0.]
 ...
 [ 25.   2.   0. ...   3.   0.   0.]
 [  1.  56. 120. ...  16.   0.   0.]
 [ 31.  50.   9. ...   0.   0.   0.]]"
watch,130,"[[ 51.  19.  15. ...   0.   0.   0.]
 [ 62.  12.   0. ...   0. 149. 149.]
 [  0.   0.   0. ...   2.   0.   3.]
 ...
 [ 24.  10.   0. ...   0.   1.  42.]
 [ 36.   0.   0. ...   0.   0.   5.]
 [ 32.  24.  17. ...   0.   0.   0.]]"
dollar_bill,215,"[[156.  36.   1. ...   0.   0.   4.]
 [ 62.  11.   1. ...   0.   0.   0.]
 [  0.   2.   5. ...   0.   0.   3.]
 ...
 [  8.  55.  17. ...   0.   0.   5.]
 [128.  22.   0. ...   0.   0.   1.]
 [ 73. 135.   9. ...   0.   0.   2.]]"
windsor_chair,156,"[[ 10.   0.   0. ...   1.   4.  15.]
 [  5.  13. 130. ...   6.   1.   0.]
 [  4.   4.   4. ...   3.   0.   0.]
 ...
 [  6.  11.  60. ...   8.  29.  71.]
 [  1.   6.   3. ...   1.   0.   0.]
 [ 57.  95.  81. ...   1.   0.   0.]]"
windsor_chair,188,"[[ 0.  4. 64. ...  0.  0.  0.]
 [ 0.  0.  1. ...  0.  0.  2.]
 [ 1.  5. 26. ...  0.  0.  3.]
 ...
 [ 0.  0.  0. ... 13.  2.  2.]
 [ 0.  0.  0. ...  2.  6. 16.]
 [ 2. 39. 44. ...  0.  0.  0.]]"
Motorbikes,121,"[[ 17.  24.  39. ...   0.   0.   0.]
 [ 13.  19. 164. ...   0.   0.   1.]
 [ 14.  21. 127. ...   0.   0.   5.]
 ...
 [  8.   1.   3. ...   0.   0.   6.]
 [  0.   2.   4. ...   0.   0.   9.]
 [  7.  13.   1. ...   0.   0.   0.]]"
binocular,163,"[[69. 23.  5. ...  0.  0.  1.]
 [52.  8.  1. ...  0.  0. 10.]
 [ 2. 21. 10. ...  0.  0.  0.]
 ...
 [11. 16. 17. ...  0.  0.  4.]
 [ 0.  0.  0. ...  1.  5. 93.]
 [92. 30.  0. ...  0.  0.  0.]]"
BACKGROUND_Google,101,"[[12.  1.  0. ...  0.  0.  0.]
 [ 0.  9. 52. ... 20. 37. 36.]
 [ 3.  0.  0. ... 72.  0.  0.]
 ...
 [ 6.  4. 40. ...  0.  0.  0.]
 [ 0.  0.  0. ... 29.  0.  1.]
 [22.  0.  0. ... 82. 96.  9.]]"
Motorbikes,147,"[[  1.  11.  29. ...   0.   0.   7.]
 [ 22.   4.  37. ...   0.   0.   1.]
 [  5.   7.  42. ...   0.   0.   3.]
 ...
 [ 59.   1.   1. ...   0.   0.  91.]
 [112.  22.   4. ...  10.   5.   5.]
 [ 90.  83.   3. ...   0.   0.   0.]]"
bonsai,171,"[[  0.   0.   0. ...  64.   5.   0.]
 [ 31.   4.   1. ...   0.   0.   0.]
 [  7.   0.   0. ...  57.   0.   0.]
 ...
 [ 16. 144.  42. ...   0.   0.   0.]
 [ 56.   8.   1. ...   0.   0.   0.]
 [  7.   1.   0. ...   0.   0.   2.]]"
brain,216,"[[  1.   1.  46. ...   0.   0.   0.]
 [ 14.  95. 131. ...   0.   0.   1.]
 [  2.   1.  21. ...   0.   0.   0.]
 ...
 [  3. 153.  41. ...   0.   0.   0.]
 [  7.   1.   8. ...   0.   0.   0.]
 [  1.   1.   0. ...   0.   0.   0.]]"
wild_cat,221,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [5. 0. 0. ... 0. 0. 0.]]"
lotus,78,"[[ 1.  0.  0. ...  1.  0.  0.]
 [ 2.  0.  0. ...  0.  2. 34.]
 [ 4.  0.  0. ...  5.  8. 17.]
 ...
 [43.  5.  0. ...  0.  2. 82.]
 [ 1.  0.  0. ...  0.  0.  0.]
 [54.  1.  0. ...  0.  0.  0.]]"
Motorbikes,171,"[[ 10.  22.  60. ...   0.   0.   0.]
 [ 14.  14.  18. ...   0.   0.   0.]
 [ 71.  10.  45. ...   0.   0.   0.]
 ...
 [ 24.  26.   4. ...   0.   0.   0.]
 [  1.   8. 117. ...   0.   0.   3.]
 [  1.  27. 160. ...   0.   0.   0.]]"
hedgehog,364,"[[  0.   0.   0. ...  14.  93.  47.]
 [  3.   6.   8. ...  11.  13.  22.]
 [  0.  94.  75. ...   3.  10.  45.]
 ...
 [  0.   0.   5. ...   7.  25. 123.]
 [  0.   0.   0. ...  12. 103. 104.]
 [  1.  14. 112. ...   0.   0.   0.]]"
