obj_name,nb_kp,descriptors
obj2,29,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 1.  1.  0. ...  0.  0.  1.]
 [ 3.  3.  0. ...  0.  0.  2.]
 ...
 [42. 62.  2. ... 53.  0.  0.]
 [28.  0.  0. ...  2.  1. 30.]
 [53.  1.  0. ...  7.  0. 20.]]"
obj34,25,"[[  8.  22.   4. ...  86.  35.   3.]
 [ 25.  14.   0. ...   0.   0.   3.]
 [ 11.   0.   0. ...   0.   0.   5.]
 ...
 [  0.   0.  27. ...   4.   5. 130.]
 [ 84.   9.   0. ...   0.   0.  55.]
 [  8.   0.   0. ...   2.   0.   0.]]"
obj34,30,"[[  2.  88.  94. ...  37.  15.   1.]
 [  0.   0.   0. ...   0.   0.   3.]
 [ 22.  15.   0. ...   9.   5.   8.]
 ...
 [ 35.  50.  14. ...   2.   0.   7.]
 [ 35.  88.  39. ...   0.   0.   0.]
 [ 48. 145.   4. ...   0.   0.  40.]]"
obj9,143,"[[18.  1. 13. ...  0.  0.  0.]
 [25. 14.  5. ...  0.  0.  0.]
 [13. 20. 26. ...  0.  0.  0.]
 ...
 [ 0.  0.  0. ...  0.  0.  1.]
 [63. 10.  0. ...  0.  0.  0.]
 [ 3. 14. 24. ...  0.  0.  2.]]"
obj53,255,"[[138. 138.  17. ...   0.   0.   0.]
 [  0.   0.   0. ...   7.   0.   0.]
 [  1.  22. 139. ...   0.   0.   0.]
 ...
 [  9.  59. 100. ...   1.   0.   0.]
 [  3.   0.   0. ...  27.   6.   0.]
 [ 30.  11.   3. ...   0.   0.   0.]]"
obj98,126,"[[14. 13.  2. ... 11. 36. 17.]
 [19.  1.  0. ... 29. 21. 14.]
 [ 0.  0.  0. ... 16. 11. 17.]
 ...
 [ 7.  0.  0. ...  3.  1.  1.]
 [ 7.  0.  0. ...  8. 31. 95.]
 [ 0.  0.  0. ... 11.  7. 17.]]"
obj14,79,"[[ 16.  81.  29. ...   0.   0.   0.]
 [ 23.  48.   6. ...   0.   0.   3.]
 [  5.   4.  15. ...   0.   0.   2.]
 ...
 [ 50.   5.   1. ...   0.   0.   5.]
 [ 17.  23.  11. ...   0.   0.   0.]
 [  7.  90. 110. ...   0.   0.   0.]]"
obj100,29,"[[ 0.  0.  3. ...  0.  0. 21.]
 [ 0.  8. 82. ...  0.  0.  1.]
 [10. 46. 78. ...  0.  0.  1.]
 ...
 [ 3. 86. 62. ...  0.  0.  5.]
 [ 0. 85. 91. ...  0.  0.  2.]
 [ 4.  6.  3. ...  0.  0.  0.]]"
obj89,143,"[[ 25.  77.  29. ...   0.   0.   0.]
 [  1.   8.  20. ...  14.  18.  25.]
 [  0.  15.  62. ...   3.  38. 102.]
 ...
 [  1.   6.  17. ...   0.   0.   0.]
 [  1.  42. 100. ...  47.  15.   3.]
 [  0.   0.   0. ...   7.  14.  34.]]"
obj35,6,"[[  0.   1.   1.  12.  40.   0.   0.   0. 118.  70.   4.   6.  10.   0.
    0.   0. 183.  89.   0.   0.   0.   0.   0.   0.  27.   6.   0.   0.
    0.   0.   0.   0.   0.   0.   0.   3.  66.   2.   0.   0. 128.  48.
    4.  10.  39.   1.   0.   3. 183.  74.   0.   0.   0.   0.   0.   6.
   56.   4.   0.   0.   0.   0.   0.   1.   0.   3.   3.   6.  58.   1.
    0.   0. 135.   4.   0.   2.  44.   7.   2.  43. 183.   6.   0.   0.
    0.   0.   0.  77.  53.   0.   0.   0.   0.   0.   0.   5.   1.   4.
    2.   9.  26.   0.   0.   0. 146.   0.   0.   2.  16.   1.   0.  47.
  183.   0.   0.   0.   0.   0.   0.  77.  25.   0.   0.   0.   0.   0.
    0.   5.]
 [  0.   0.   0.   0.   4.   0.   0.   0.   5.   8.   1.  14.  53.   0.
    0.   0.  54.  37.   1.   5.   6.   0.   0.   0.   5.   2.   0.   0.
    0.   0.   0.   0.   0.   0.   0.   2.  37.   2.   0.   0.  40.  35.
    3.  74. 184.  44.   1.   5. 184. 168.   4.  28.  69.  13.   1.  23.
   53.  12.   0.   0.   0.   0.   0.   2.   0.   0.   0.   0.  18.   7.
    0.   0.  24.   2.   0.   2. 184. 184.  15.  27. 184.  10.   0.   1.
   50.  72.  20. 149.  53.   1.   0.   0.   0.   0.   0.  11.   0.   0.
    0.   0.   1.   1.   0.   0.   1.   0.   0.   0.  19.  20.   1.   2.
   18.   0.   0.   0.   3.   7.   2.  10.   3.   0.   0.   0.   0.   0.
    0.   1.]
 [  0.   0.   0.   1.   2.   0.   0.   0.   2.   4.   2.  20.  21.   0.
    0.   0.  19.  12.   1.   4.   2.   0.   0.   0.   1.   0.   0.   0.
    0.   0.   0.   0.   0.   0.   0.  17.  42.   0.   0.   0.  54.  50.
   19. 185. 185.   3.   0.   3. 185. 153.  16.  41.  24.   1.   0.   9.
   25.   6.   0.   0.   0.   0.   0.   0.   0.   0.   0.   4.  71.   8.
    0.   0.  80.   8.   1.  42. 185. 100.   4.  49. 185.  22.   1.   7.
   33.  20.   3. 139.  25.   1.   0.   0.   0.   0.   0.   4.   0.   0.
    0.   0.   8.   1.   0.   0.   9.   0.   0.   0.  51.  19.   1.  10.
   54.   0.   0.   0.   3.   4.   1.  28.   2.   0.   0.   0.   0.   0.
    0.   1.]
 [  4.   0.   0.   0.  10.   7.   1.   3. 180.  18.   0.   0.   0.   1.
    1.   5. 180.  37.   0.   0.   0.   0.   0.   0.  17.   2.   0.   0.
    0.   0.   0.   0.   2.   0.   0.   0.   7.  10.   3.   5. 180.  15.
    0.   0.   0.   0.   1.  16. 180.  43.   0.   0.   0.   0.   0.   3.
   33.   3.   0.   0.   0.   0.   0.   0.   2.   0.   0.   0.   5.   8.
    4.   8. 180.   1.   0.   0.   0.   0.   1.  47. 180.   6.   0.   0.
    0.   0.   0.  33.  39.   1.   0.   0.   0.   0.   0.   1.   3.   0.
    0.   0.   1.   2.   3.  11. 150.   1.   0.   0.   0.   0.   0.  32.
  180.   2.   0.   0.   0.   0.   0.  18.  28.   0.   0.   0.   0.   0.
    0.   1.]
 [ 50.   0.   0.   0.   2.   2.   1.  20. 110.  16.   0.   0.  27.  13.
    1.   6. 189.  54.   0.   0.   1.   0.   0.   0.  45.   7.   0.   0.
    0.   0.   0.   0.  57.   0.   0.   0.   4.   3.   1.  44. 114.   5.
    0.   0.  69.  16.   2.  13. 189.  27.   0.   0.   4.   0.   0.   2.
   79.   5.   0.   0.   0.   0.   0.   1.  54.   0.   0.   0.  11.   3.
    2.  56. 106.   1.   0.   8. 103.  10.   2.  16. 189.   2.   0.   1.
    5.   0.   0.  23.  84.   1.   0.   0.   0.   0.   0.   2.  39.   0.
    0.   7.  23.   1.   1.  49.  99.   1.   0.  30.  97.   2.   1.  19.
  189.   1.   0.   1.   2.   0.   0.  59.  49.   0.   0.   0.   0.   0.
    0.   7.]
 [  0.   1.  20.  74.   4.   0.   0.   0.  31.   2.  32. 139.  53.   0.
    1.  75.  13.   0.   0.  28.  19.  10.  26. 139.   0.   0.   0.   2.
   55.  10.  11.  13.  15.   3.   9.   7.   0.   0.   0.   1. 139.  14.
   19.  21.   2.   4.   4. 121.  55.   3.   0.   0.  86.  41.  14.  79.
    0.   0.   0.   1. 101.  10.   0.   0.  12.   0.   0.   0.   0.   0.
    0.   2. 139.  91.   1.   0.   2.   2.  11.  25.  70.  85.   4.   3.
   94.  49.   2.   6.   0.   1.   0.   0.  76.  56.   0.   0.   0.   0.
    0.   0.   0.   0.   2.   1.  36.  32.   0.   0.   0. 115. 138.  17.
   18. 133.   8.   1.   7. 115.  41.   2.   0.  27.  14.   1.  17.  89.
    2.   0.]]"
obj41,372,"[[ 0.  0.  0. ... 13. 65. 27.]
 [ 0.  0.  0. ...  1.  0.  0.]
 [ 2.  0.  0. ... 13.  1.  3.]
 ...
 [ 0.  0.  0. ...  0.  0.  0.]
 [ 1.  0.  0. ...  0.  1.  3.]
 [ 1.  0.  0. ...  0.  0.  3.]]"
obj12,395,"[[24. 32.  8. ...  0.  0.  0.]
 [42. 39. 11. ...  0.  0.  0.]
 [27. 58. 22. ...  0.  0.  0.]
 ...
 [14.  5.  9. ...  0.  0.  0.]
 [ 3.  3. 21. ...  0.  0.  0.]
 [31. 23.  6. ...  0.  0.  0.]]"
obj77,326,"[[ 1.  0.  0. ... 60. 20.  8.]
 [ 0.  0.  0. ... 40.  3.  5.]
 [ 1.  0.  0. ... 27.  4.  6.]
 ...
 [22.  3.  0. ...  5.  1.  2.]
 [ 2.  0.  0. ...  1.  1.  1.]
 [ 2.  0.  0. ... 13.  0.  0.]]"
obj6,43,"[[134. 105.   2. ...   0.   0.   0.]
 [  1.   1.   3. ...   0.   0.   8.]
 [ 31.   3.  19. ...   0.   0.   0.]
 ...
 [ 52.  13.   0. ...   0.   0. 137.]
 [ 33. 121.  23. ...   0.   0.   0.]
 [ 37.  46.   8. ...   0.   0.  43.]]"
obj77,106,"[[10. 15. 34. ...  0.  0.  0.]
 [ 0.  2. 54. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  3.]
 ...
 [ 6.  1.  0. ...  0.  0.  0.]
 [ 9.  3.  2. ...  0.  0.  0.]
 [18. 28.  1. ...  0.  0.  0.]]"
obj53,264,"[[  8.   3.   8. ...   0.   0.   2.]
 [  0.   0.   0. ...  21.  11.   1.]
 [ 33.   6.  12. ...   0.   0.   0.]
 ...
 [ 65.  58.   7. ...   0.   0.   0.]
 [ 13.  22.   3. ...   0.   1. 135.]
 [ 48.  37.  11. ...  36.  48.   7.]]"
obj12,284,"[[ 25.  80.  39. ...   0.   0.   0.]
 [ 25. 131.  18. ...   1.  10.  14.]
 [  1.   3.  53. ...   0.   0.   9.]
 ...
 [ 23.   9.  14. ...   4.   3.   1.]
 [ 47. 122.  32. ...   0.   0.   1.]
 [  3.  27.  11. ...   0.   0.   0.]]"
obj20,33,"[[  0.   0.   0. ...   0.   0.   2.]
 [  0.   0.   0. ...   0.   0.   0.]
 [  0.  15.  35. ...   0.   0.   0.]
 ...
 [ 14.  78. 133. ...   0.   0.   5.]
 [  0.  12.  35. ...   0.   0.   2.]
 [  0. 133. 133. ...   0.   0.   0.]]"
obj99,242,"[[57. 59. 10. ...  0.  0.  0.]
 [13. 45. 33. ...  0.  0.  2.]
 [27. 34. 23. ...  0.  0.  0.]
 ...
 [55. 56. 12. ...  0.  0.  0.]
 [11.  2.  2. ...  0.  0.  0.]
 [25.  3.  1. ...  0.  0.  0.]]"
obj88,180,"[[ 35.  23.  19. ...   0.   0.   0.]
 [ 34.  13.   3. ...   0.   0.   0.]
 [ 53.   1.   0. ...   0.   0.   0.]
 ...
 [ 46.  32.   7. ...   0.   0.   0.]
 [ 61.  61.   0. ...   0.   0.   1.]
 [127.  40.   3. ...   0.   0.   0.]]"
obj30,75,"[[  6.   9.   2. ...   5.  78.  24.]
 [ 27.  50.   3. ...   0.   0.   2.]
 [  4.  27.  60. ...   0.   1.  35.]
 ...
 [  8.  91.  84. ...   3.   9.  17.]
 [  1.   1.  39. ...   0.  15. 122.]
 [ 33.  10.   0. ...   0.   0.   4.]]"
obj67,101,"[[  0.   0.   0. ...   8.  60.  56.]
 [ 54. 108.  20. ...   0.   0.   0.]
 [  7.   7. 109. ...   2.  23.  14.]
 ...
 [  4.   6.   2. ...  13.   2.   1.]
 [  6.   6.   4. ...  11.  10.   2.]
 [  2.   0.   0. ...   4.   6.  15.]]"
obj11,178,"[[ 60. 146.  53. ...   0.   0.   0.]
 [ 13.   6.   2. ...   0.   0.   0.]
 [  0.   2.  25. ...  19.   7.  25.]
 ...
 [  0.   0.   0. ...   0.   0.   6.]
 [144.  31.   3. ...   4.   0.   0.]
 [  0.   0.   3. ...   6.   0.   0.]]"
obj23,46,"[[ 69.  53.  24. ...   0.   0.   2.]
 [  0.  24. 106. ...   0.   0.   6.]
 [ 43.   4.   1. ...   0.   0.   0.]
 ...
 [  0.  65.  96. ...   0.   0.  15.]
 [ 14.   9.   0. ...   0.   1.   3.]
 [  0.  43.  94. ...   0.   0.   4.]]"
obj48,254,"[[  0.   0.   4. ...   9.  29.   5.]
 [113.  13.  13. ...   0.   0.   6.]
 [  0.   3.  27. ...   0.   0.   4.]
 ...
 [ 79.   4.   2. ...  27.   4.   0.]
 [  7.  29.  91. ...   1.   1.   1.]
 [  0.   0.  13. ...   3.   0.   1.]]"
obj93,69,"[[24. 44.  0. ...  0.  0.  4.]
 [ 2.  0.  0. ...  0. 65. 31.]
 [46.  2.  1. ...  0.  0.  0.]
 ...
 [ 0.  7. 75. ...  0.  0.  7.]
 [12.  8.  0. ...  0.  0. 12.]
 [26. 72. 27. ...  0.  0.  0.]]"
obj28,370,"[[50.  7.  3. ... 16. 37. 18.]
 [23. 10.  2. ...  3.  7. 26.]
 [ 4.  3.  8. ... 10.  2.  0.]
 ...
 [ 9. 15. 29. ... 15. 21.  8.]
 [ 6.  1.  2. ...  0.  0.  0.]
 [38. 37. 48. ...  0.  0. 10.]]"
obj62,68,"[[ 10.   7.   8. ...   0.   0.   0.]
 [ 50.  13.   0. ...   0.   0.   9.]
 [  6.   9.   2. ...   0.   0.  10.]
 ...
 [  0.   0. 100. ...   0.   0.   4.]
 [  6.  11.   3. ...   0.   0.   0.]
 [ 50.  53.  21. ...   0.   0.   0.]]"
obj45,280,"[[37.  1.  0. ... 10. 27. 28.]
 [24. 21. 15. ...  0.  0.  0.]
 [12.  4.  3. ...  1.  1.  4.]
 ...
 [35.  0.  0. ...  3.  2. 10.]
 [39.  0.  0. ...  2.  7.  5.]
 [57.  0.  0. ...  5.  3. 12.]]"
obj60,294,"[[  0.   0.   0. ...   4.   1.   3.]
 [  7. 120.  84. ...  34.  61.  18.]
 [  0.   0.   0. ...  41.  20.   9.]
 ...
 [136. 124.  36. ...   2.   3.  16.]
 [ 64.   3.   0. ...   1.   0.   4.]
 [  5.   0.   0. ...   1.   0.   0.]]"
obj96,317,"[[13. 45.  0. ...  1.  0.  0.]
 [ 0.  0.  0. ...  0.  2. 52.]
 [72. 11.  3. ...  0.  0.  3.]
 ...
 [ 0.  0.  4. ...  4. 75. 87.]
 [17.  8.  0. ... 80. 29.  1.]
 [ 0.  0.  0. ...  0.  0.  1.]]"
obj98,139,"[[ 13.   4.   0. ... 100.  72.  53.]
 [ 41. 140.   0. ...  25.  41.  12.]
 [  1.   2.   0. ...  27.   4.  29.]
 ...
 [ 93.  50.  30. ...  32.  26.  71.]
 [  1.   0.   0. ...  52.   1.   1.]
 [  0.   1.   4. ...  21.   4.  14.]]"
obj9,343,"[[  0.   0.   0. ...  95.   7.   6.]
 [  0.   0.   0. ...  56. 162.  50.]
 [  1.   0.   0. ...   5.   2.   2.]
 ...
 [  1.   0.   0. ...   0.   0.   1.]
 [  1.   0.   0. ...   0.   0.   2.]
 [  5.   1.   0. ...  76.   5.   5.]]"
obj6,42,"[[  0.   0.   0. ...  20.   7.   2.]
 [109.   1.   0. ...   0.   0.   0.]
 [  0.   0.   1. ...   0.   0.   1.]
 ...
 [ 34.  18.   0. ...   0.   0. 126.]
 [ 12.  32.  20. ...   0.   0.   0.]
 [  0. 117. 142. ...   1.   2.  16.]]"
obj87,91,"[[ 10.  79.  39. ...   0.   0.   0.]
 [ 38.   0.   0. ...   0.  43. 136.]
 [129.  33.   3. ...  32.  20.  18.]
 ...
 [ 24.  25.   0. ...   0.   1. 142.]
 [  2.   5.   4. ...   0.   0.   0.]
 [  7.   0.   0. ...   0.   0.  12.]]"
obj87,98,"[[ 72.   0.   0. ...   0.   8. 137.]
 [  0.   0.   0. ...  52.  10.  23.]
 [ 43.  14.   1. ...   0.   0.   0.]
 ...
 [ 81.   8.   0. ...   0.   0.   0.]
 [  1.   0.   5. ...   0.   0.   0.]
 [  3.   4.   5. ...   0.   0.   0.]]"
obj59,111,"[[ 1.  1. 16. ... 25.  0.  0.]
 [ 2. 39. 14. ...  0.  0.  0.]
 [ 1.  1.  2. ... 11. 10.  1.]
 ...
 [ 1.  1.  3. ...  0.  0.  1.]
 [85. 55. 10. ...  0.  0.  0.]
 [64. 66. 25. ...  0.  0.  2.]]"
obj17,197,"[[ 1.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0. 37. 36.]
 [ 0.  0.  0. ...  5.  3.  2.]
 ...
 [50.  2.  0. ... 11.  9.  4.]
 [31.  0.  0. ... 12. 30.  8.]
 [29. 21.  0. ...  5.  1.  0.]]"
obj69,65,"[[137.  42.   0. ...   0.   0.   0.]
 [  0.   5. 139. ...   4.   1.   6.]
 [  0.   0. 126. ...   0.   0.   6.]
 ...
 [ 64.  62.   8. ...   0.   2.  19.]
 [  4.   7.  57. ...   0.   0.   4.]
 [  7. 103. 138. ...   3.   0.   2.]]"
obj62,184,"[[ 0.  0.  0. ...  2.  5. 27.]
 [ 3.  6. 26. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  0.]
 ...
 [48.  8.  0. ...  6.  0.  3.]
 [55.  7.  0. ...  5. 26. 21.]
 [ 0.  0.  1. ...  4.  0.  0.]]"
obj50,213,"[[ 61.  17.   3. ...   0.   0.   0.]
 [ 13.  29.  20. ...   0.   0.   0.]
 [ 28.   0.   0. ...   0.   0.   3.]
 ...
 [ 19.   6.   9. ...   0.   0.   0.]
 [ 12.   8.  31. ...   0.   0.   0.]
 [ 37. 108.   7. ...   0.   0.   0.]]"
obj10,395,"[[16.  3.  0. ... 28. 26. 61.]
 [25. 70. 25. ...  0.  0.  0.]
 [ 0.  1.  1. ...  0. 41. 55.]
 ...
 [61.  1.  0. ...  1.  4. 16.]
 [16. 67.  6. ... 22. 89. 26.]
 [ 0.  0.  0. ...  2. 46. 96.]]"
obj50,213,"[[ 12.   5.  16. ...   0.   0.   0.]
 [ 76.  11.   0. ...   0.   0.   0.]
 [ 16. 113.  24. ...   0.   0.   0.]
 ...
 [147.  43.   8. ...   0.   0.   0.]
 [ 23.  21.  74. ...   0.   0.   0.]
 [ 29.  42.  21. ...   0.   0.   0.]]"
obj44,86,"[[  4. 102.  49. ...   0.   0.   0.]
 [  3.   1.   2. ...   0.   0.   0.]
 [  3.  19.   0. ...   0.   6.  57.]
 ...
 [  7.   9.   3. ... 102.  11.   9.]
 [  0.   0.   0. ...   5.   1.   1.]
 [  0.   0.   0. ...   7.   5.  13.]]"
obj93,52,"[[ 76.   0.   0. ...   0.   0.   2.]
 [  4.   9. 117. ...   0.   0.   1.]
 [ 42.   0.   0. ...   0.   0.   8.]
 ...
 [ 69.  92.  22. ...   1. 114. 114.]
 [  1.   2.   2. ...   0.   0.  18.]
 [  0.  31.  85. ...   0.   0.   4.]]"
obj78,210,"[[ 0.  0.  0. ...  3.  1.  0.]
 [ 0.  0.  7. ...  0.  0.  0.]
 [19.  1.  3. ...  0.  0.  0.]
 ...
 [87. 93. 16. ...  2.  0.  0.]
 [ 2.  0.  0. ... 78. 16. 11.]
 [61. 11.  1. ...  0.  0.  2.]]"
